Name;Jahr;Listenplatz;Partei;Wahlkreis;Bundesland
Aae,  Per Lennart;2013;;39;457;26
Abele,  Sebastian Tobias;2013;50;33;;30
Abolhassanzadeh Talischi,  Roya;2013;30;36;;25
Acker,  Klaus;2013;10;39;;29
Acker,  Reinmund;2013;;;515;30
Ackermann,  Jens;2013;2;35;367;23
Ackermann, Dr. Lothar Matthias;2013;31;35;;29
Adam,  Michael;2013;43;33;530;30
Adler,  Beate;2013;11;37;329;20
Adomeit,  Michael Harald;2013;;;314;18
Aengenvoort,  Manfred August;2013;15;39;;25
Ahlers,  Werner;2013;13;54;;30
Ahlgrimm,  Jonas;2013;;36;473;27
Ahr-Wiehe,  Kornelia;2013;38;35;;27
Ahrendt,  Christian;2013;1;35;312;18
Ahrens,  Dirk;2013;3;57;;29
Aigner,  Alois;2013;33;56;529;30
Aigner,  Ilse;2013;4;38;523;30
Aita,  Pasquale;2013;;;483;27
Aken van,  Jan;2013;1;36;;19
Akgün, Dr. Lale;2013;29;33;394;25
Albanesi,  Stefan;2013;;36;555;30
Albertsen,  Sönke;2013;;;301;17
Albrecht,  Frank;2013;43;35;415;25
Albrecht,  Klaus;2013;;36;467;26
Albrecht,  Richard Hermann;2013;14;45;;30
Aldag,  Wilfried;2013;;39;342;20
Allenstein,  Michael;2013;3;53;;27
Alpers,  Agnes;2013;1;36;;21
Altmaier,  Peter;2013;1;34;596;32
Altmayer,  Fernande;2013;7;35;;32
Amann,  Gregor;2013;13;33;481;27
Ambrosius,  Gerhard;2013;2;39;;32
Andreae,  Kerstin;2013;1;37;580;31
Andrejewski,  Michael;2013;;39;315;18
Andresen,  Volker;2013;22;33;;17
Andromidas,  Andrea;2013;8;45;;27
Angne,  Christian;2013;21;35;;29
Anslinger,  Winfried;2013;5;37;598;32
Ansorge,  Daniel Richard;2013;13;56;556;30
Anspach-Papa,  Kornelia;2013;9;34;;32
Aparicio de Eckelmann,  Marta;2013;7;36;557;30
Apel,  Rainer;2013;10;45;481;27
Appel,  Detlef;2013;8;39;;22
Appelt,  Johannes Peter;2013;15;45;;30
Appelt,  Ron;2013;;39;523;30
Appenrodt,  Corinna;2013;9;33;;28
Araz,  Feryal;2013;7;44;;25
Arendt,  Dirk;2013;5;39;;18
Armstroff,  Dörthe;2013;1;39;508;29
Arndt,  Holger-Michael;2013;;37;407;25
Arndt-Brauer,  Ingrid;2013;10;33;424;25
Arnold,  Karin;2013;;58;545;30
Arnold,  Ludger;2013;42;33;;27
Arnold,  Rainer;2013;10;33;561;31
Artmeyer,  Ludwig;2013;;37;426;25
Aschenberg-Dugnus,  Christine;2013;4;35;303;17
Aßmann,  Helma;2013;3;45;;22
Atan,  Ferit;2013;5;44;;31
Auernhammer,  Artur Friedrich;2013;31;38;;30
August,  Elisabeth;2013;21;36;;25
Augustin,  Andreas;2013;7;57;;32
Aulenbacher,  Reiner;2013;1;44;595;32
Aulila,  Martin;2013;12;46;;30
Aumer,  Peter;2013;;38;532;30
Aydin,  Hüseyin Kenan;2013;;36;416;25
Azima,  Armin;2013;;45;319;19
Baade,  Klaus Hermann;2013;2;39;354;21
Babic,  Safet;2013;2;39;503;29
Bach,  Thomas;2013;24;34;;27
Bachmann,  Iris;2013;17;37;;27
Bacholke,  Sabrina;2013;4;42;;24
Backes,  Veronika;2013;36;34;;27
Bader,  Jürgen;2013;2;44;319;19
Badum,  Lisa;2013;15;37;535;30
Baecker,  Dietrich Karl Ernst;2013;1;43;;21
Bähr,  Manfred;2013;3;35;370;23
Bänsch,  Knut;2013;8;57;;27
Bär,  Dorothee;2013;7;38;547;30
Bär,  Karl;2013;12;37;523;30
Baer,  Peter;2013;;;591;31
Baerbock,  Annalena;2013;3;37;363;22
Bätzing,  Sabine;2013;6;33;497;28
Bäuerle,  Peter;2013;7;44;559;31
Bäumler,  Werner;2013;;36;525;30
Bahr,  Daniel;2013;8;35;429;25
Bailey,  Gabriele;2013;;37;411;25
Balck,  Dieter;2013;1;59;;19
Balg,  Torsten;2013;17;56;;29
Balke, Dr. jur. Michael;2013;;;443;25
Balnat,  Peter Manfred;2013;3;39;;21
Balzer,  Regina Hildegard Käthe;2013;7;44;;26
Bangerter,  Gero Heinrich;2013;30;35;444;25
Bannert,  Stefan;2013;18;36;547;30
Bannert,  Ulrich Gustav;2013;25;40;;30
Baranski,  Robin;2013;72;33;;25
Barchmann,  Heinz-Joachim;2013;11;33;351;20
Bareiß,  Thomas;2013;;34;594;31
Bargmann,  Rudolf Walter;2013;1;53;;21
Barnett,  Doris;2013;3;33;507;29
Barta,  Daniel Lutz;2013;7;35;;19
Bartels, Dr. Hans Peter;2013;6;33;304;17
Bartelt,  Christian;2013;4;35;315;18
Barth,  Cornelia;2013;7;36;;21
Barth,  Edith;2013;29;33;;32
Barth,  Steven;2013;2;57;;23
Barth,  Volker;2013;30;34;;31
Barthel,  Klaus;2013;5;33;523;30
Barthle,  Norbert;2013;;34;568;31
Bartholomäus,  Uwe;2013;3;53;;19
Bartholomé,  Anna;2013;3;44;;29
Bartol,  Sören;2013;;33;471;27
Bartsch, Dr. Dietmar;2013;1;36;312;18
Bas,  Bärbel;2013;35;33;415;25
Baseler,  Lothar;2013;3;39;321;19
Bathon,  Michael;2013;37;34;;27
