Name;Jahr;Listenplatz;Partei;Wahlkreis;Bundesland
Bauch,  Annegret;2013;39;34;;27
Bauch,  Matthias;2013;8;46;;30
Bauer,  Anneliese;2013;8;48;;31
Bauer,  Emil;2013;4;44;551;30
Bauer,  Erich;2013;53;35;533;30
Bauer,  Sebastian-Michael;2013;3;57;;31
Baum,  Andreas;2013;3;57;;24
Baum,  Erika;2013;4;52;;24
Baumann,  Helmut Günter;2013;;34;464;26
Baumgärtner, Dr. Albert;2013;;39;578;31
Baumgartner,  Alfons;2013;9;46;;30
Baumgartner,  Roman;2013;21;34;;31
Baur,  Jens;2013;;39;460;26
Bayrak,  Yusuf;2013;;;382;24
Bechert, Dr. Arthur;2013;55;38;;30
Beciri,  Birgit;2013;8;42;;27
Beck,  Ernst-Reinhard;2013;;34;588;31
Beck,  Jürgen;2013;;;385;24
Beck,  Marieluise;2013;1;37;354;21
Beck,  Stefanie;2013;5;36;508;29
Beck,  Tobias;2013;16;35;;29
Beck,  Volker;2013;2;37;394;25
Beck geb. Krauß,  Claudia;2013;;37;596;32
Becker,  Alexander;2013;39;34;;29
Becker,  Bernd;2013;31;33;;29
Becker,  Burkhard;2013;;39;436;25
Becker,  Dirk;2013;33;33;435;25
Becker,  Kurt;2013;28;33;;29
Becker-Lettow,  Christa Lydia;2013;66;33;;25
Beckmann,  Bert;2013;4;44;;18
Beckmeyer,  Uwe Karl;2013;1;33;355;22
Beekhuis,  Jochen Heiner;2013;42;33;;20
Beer,  Maximilian;2013;54;38;;30
Beetz,  Kirsten;2013;36;34;;29
Befeldt,  Peter;2013;32;33;;20
Behlen,  Jörg;2013;17;35;471;27
Behm,  Cornelia;2013;1;37;361;22
Behnke,  Martin;2013;;36;405;25
Behrens,  Hans-Peter;2013;;37;572;31
Behrens,  Heidemarie Elisabeth;2013;5;36;;21
Behrens,  Herbert;2013;6;36;334;20
Behrens,  Manfred;2013;8;34;367;23
Behrens,  Matthias;2013;2;39;335;20
Beier,  Andreas;2013;;;590;31
Beier, Dr. Guido;2013;3;35;359;22
Beier,  Klaus;2013;1;39;363;22
Beier,  Mirko;2013;6;39;451;26
Bellmann,  Veronika Maria;2013;7;34;461;26
Belzner,  Michael;2013;8;40;;31
Bender,  Birgitt;2013;7;37;558;31
Bender,  Mario;2013;4;36;;32
Bendigkeit,  Anneliese;2013;26;34;;31
Benedetto Di,  Edgar;2013;32;36;328;20
Benneter,  Klaus Uwe;2013;5;33;379;24
Bensmann,  Felix;2013;28;35;;20
Bentz,  Konrad;2013;;39;469;27
Benz,  Josef;2013;28;35;572;31
Benz,  Karl Hans August;2013;9;58;;30
Benz,  Markus;2013;1;54;580;31
Berberich,  Patrick;2013;29;34;;29
Berbig,  Miro;2013;;36;307;17
Berg, Dr. Axel;2013;17;33;517;30
Berg,  Ute;2013;17;33;437;25
Bergen,  Lars;2013;63;38;;30
Berger,  Cornelia;2013;;39;375;24
Berger,  Frank;2013;52;35;554;30
Berger,  Milan;2013;;57;544;30
Berger, Dr. Dr. Wolfgang Georg Justus;2013;;;511;29
Bergler,  Volker;2013;13;46;;30
Bergmoser,  Jutta;2013;27;37;427;25
Bergner, Dr. Christoph;2013;1;34;372;23
Berisha,  Christian;2013;;39;337;20
Berlinghof,  Jutta;2013;19;37;545;30
Bernd,  Christopher;2013;6;43;;29
Berndt,  Wolfgang Herbert Josef;2013;;36;531;30
Bernhard,  Marc;2013;9;34;;31
Bernmeiser,  Martin;2013;16;54;;30
Berns,  Wolfgang;2013;10;35;472;27
Bernschneider,  Florian;2013;7;35;350;20
Bernsen,  Jürgen Heinrich;2013;;;376;24
Bernstein,  Patrick;2013;;39;520;30
Bertram,  Ute;2013;49;34;;20
Besemann,  Karl-Heinz;2013;2;53;;20
Bestehorn,  Harald;2013;;39;538;30
Bestgen,  Markus;2013;27;35;397;25
Bethge,  Horst;2013;4;36;;19
Bethke,  Cornelia;2013;35;33;;27
Beutin,  Lorenz Gösta;2013;;36;309;17
Beyer,  Christian;2013;27;33;531;30
Beyer,  Lars;2013;9;39;;22
Beyer,  Peter;2013;53;34;405;25
Beyer,  Stephan;2013;;;491;28
Bieder,  Bettina;2013;8;39;;28
Bieler,  Christian;2013;;39;380;24
Biener,  KLaus;2013;;37;497;28
Biereichelt,  Xenia;2013;8;45;;18
Biesenbach,  Arnhild;2013;6;34;452;26
Biester,  Hans-Dieter;2013;39;59;;20
Bihler,  Michael;2013;2;38;;19
Bilger,  Steffen;2013;48;34;;30
Biller,  Rainer;2013;;39;564;31
Binder,  Karin;2013;;36;544;30
Binder,  Martin;2013;3;34;570;31
Binder,  Sascha;2013;16;33;;29
Binding,  Lothar;2013;29;33;562;31
Bing,  Peter;2013;14;59;573;31
Binninger,  Clemens;2013;2;34;;17
Birk,  Katharina;2013;;36;559;31
Birkwald,  Matthias W.;2013;19;36;;31
Bischof,  Florian;2013;10;57;394;25
Bischoff,  Joachim;2013;1;36;;24
Bitsch,  Peter;2013;;40;318;19
Bittel, Dr. Günther Wolfgang;2013;5;44;;27
Bläsche,  Thomas;2013;23;35;;25
Bläsing,  Robert;2013;10;35;504;29
Blank,  Kurt Jürgen;2013;11;39;321;19
Blankenheim,  Bernhard;2013;;39;556;30
Blech,  Bernd;2013;;40;395;25
Blechschmidt,  Thomas;2013;;;441;25
Blender, Dr. Wolfgang;2013;;35;520;30
Bleser,  Peter;2013;26;34;;29
Bliemel,  Stephan;2013;4;33;500;29
Bliss, Prof. Dr. Frank;2013;5;37;311;18
Blitz,  Detlev;2013;;33;498;29
Blocks,  Günter;2013;18;36;486;27
Blöcker, Dr. Helmut;2013;;37;425;25
Blohm,  Marion Else;2013;;53;350;20
Blome,  Frank;2013;3;39;;21
Blotenberg,  Barbara;2013;;37;340;20
Bluhm,  Heidrun;2013;;36;443;25
Blum,  Claudia;2013;3;33;316;18
Blume,  Klaus;2013;15;58;474;27
Blumenthal,  Sebastian;2013;;35;525;30
Blumentritt,  Volker;2013;3;33;304;17
Blumer,  Jürgen;2013;6;44;493;28
Bockhahn,  Steffen;2013;;36;416;25
Bögel,  Claudia;2013;;35;313;18
Böger,  Melanie;2013;17;36;424;25
Böhler,  Werner;2013;9;33;;20
Böhm, Dr. Dorothea;2013;41;41;436;25
Böhm,  Walter;2013;2;39;;25
Böhmer, Prof. Dr. Maria;2013;;34;518;30
Böhmler,  Helmut;2013;2;44;507;29
Böhner,  Georg;2013;;36;402;25
Böhning,  Björn Lars;2013;;33;536;30
Börm,  Manfred;2013;;39;383;24
Börnsen,  Wolfgang;2013;9;34;344;20
Börs,  Peter;2013;4;39;300;17
Boes,  Ralph;2013;;;356;22
Böttcher,  Jorg;2013;;;375;24
Böttcher,  Süntje;2013;;57;347;20
Böttcher,  Viktor;2013;8;33;;32
Böttger, Dr. Martin;2013;34;37;;27
Bok,  Karl-Heinz;2013;;56;465;26
Bollmann,  Gerd;2013;11;33;563;31
Bonde,  Alexander;2013;;37;441;25
Borde,  Keno;2013;8;33;582;31
Borgwardt,  Klaus-Peter;2013;28;44;325;20
Borgwardt,  Sonja Angela;2013;1;44;;31
Born,  Helmut;2013;24;36;;25
Born,  Markus;2013;;39;406;25
Born,  Thomas;2013;;45;405;25
Borrmann,  Raimund Frank;2013;10;39;;26
Bortlisz-Dickhoff,  Johannes Martin Maria;2013;;37;314;18
Bosbach,  Wolfgang;2013;;34;391;25
Bosold,  Hans-Joachim;2013;7;39;400;25
Bosse von, Dr. Arnold Klaus Siegmund Georg;2013;;37;474;27
Bothe,  Karin;2013;;35;314;18
Bothe,  Martin;2013;25;42;;29
Bousonville,  Reiner;2013;2;37;;20
Boxler,  Stefan Alois;2013;;37;479;27
Bracht-Bendt,  Nicole;2013;6;35;463;26
Brackmann,  Norbert;2013;6;34;336;20
Brähmig,  Klaus Peter;2013;11;34;309;17
Bräuer,  Rolf;2013;6;37;458;26
Bräutigam, Dr. Lutz;2013;;37;345;20
Brand,  Matthias Walter Heinrich;2013;;41;541;30
Brand,  Michael;2013;9;34;;30
Brandhoff,  Sascha;2013;18;57;474;27
Brandl,  Bernd;2013;6;46;;27
Brandl, Dr. Reinhard;2013;14;38;;30
Brandner,  Klaus;2013;;33;516;30
Brandt,  Achim;2013;6;48;431;25
Brandt,  Fridolin;2013;4;36;;31
Brandt,  Helmut;2013;;34;515;30
Brandt,  Holger Ernst;2013;29;;388;25
Branghofer,  Gerald;2013;;53;376;24
Branghofer,  Max Erich;2013;3;53;;25
Brase,  Willi;2013;1;33;;25
Brauer,  Stephen;2013;5;35;448;25
Brauksiepe, Dr. Ralf;2013;18;34;567;31
Braun, Dr. Bernhard;2013;10;37;439;25
Braun, Dr. Helge Reinhold;2013;;34;507;29
Braun,  Petra;2013;10;44;473;27
Braun,  Volker;2013;;39;425;25
Brauner,  Manfred;2013;;36;419;25
Bredow,  von Harald-Ingo;2013;10;46;338;20
Brehme,  Ulrich Johannes;2013;47;56;;30
Brehmer,  Heike;2013;2;34;;20
Breidbach,  Manfred Helmut;2013;6;39;368;23
Breidenbach,  Rolf;2013;4;35;406;25
Breil,  Klaus;2013;11;35;379;24
Breitenbach,  Elke;2013;13;36;525;30
Breitenfellner,  Thomas Achim;2013;9;38;;24
Breitmeier,  Adolf Wilhelm;2013;45;50;;30
Brem,  Hermann;2013;;37;485;27
Bremer,  Klaus;2013;16;44;520;30
Brenner, Dr. Gerd;2013;4;37;;27
Brenning,  Ernst;2013;;34;409;25
Bresch,  Harald;2013;10;;;24
Bresonik,  Frank;2013;;41;366;23
Breyer,  Eveline;2013;11;34;;25
Brie, Dr. Andreas;2013;38;36;;29
Brinkhaus,  Ralph;2013;;34;365;23
Brinkmann,  Bernhard;2013;45;33;431;25
Brocke von,  Rüdiger;2013;22;33;348;20
Brodnicki,  Benjamin;2013;18;53;;17
Brodtrück,  Bernd;2013;5;45;;21
Brömsen,  Edith;2013;8;54;;26
Brose,  Dieter Manfred;2013;10;39;;30
Broziat,  Martin;2013;10;35;360;22
Brückner,  Andreas;2013;;;311;18
Brüderle,  Rainer;2013;;35;365;23
Brüggemann,  Norbert;2013;1;35;505;29
Brüggemann,  Regine;2013;25;36;331;20
Brügmann,  Klaus-Dieter;2013;2;36;;19
Brüning,  Monika Minna Marie;2013;;34;306;17
Brüsemeister,  Peter Klaus;2013;31;36;;20
Bruhn,  Wolfgang;2013;23;39;533;30
Brumann,  Peter Josef;2013;;41;398;25
Brummer,  Doris;2013;10;34;;25
Brunke-Reubold,  Sabine;2013;35;37;;31
Brunkhorst,  Angelika;2013;9;35;344;20
Brunner,  Josef;2013;4;60;328;20
Brunner, Dr. Karl Heinz;2013;;33;526;30
Bruns,  Eckhard Karl Alfred;2013;41;58;554;30
Bruns,  Michael;2013;6;36;;20
Brunschweiger,  Jörg;2013;16;54;446;25
Brunschweiger,  Rosi;2013;5;54;;30
Bubendorfer,  Raffaela;2013;12;35;;30
Bucher,  Klaus;2013;20;35;512;29
Buchholz,  Christine;2013;32;36;589;31
Buchholz,  Conrad;2013;3;35;484;27
Buchholz,  Doris;2013;18;35;479;27
Buchmann,  Daniel;2013;6;45;;32
Buchmann,  Sven;2013;2;;384;24
Buchner, Prof. Dr. Klaus;2013;;56;382;24
Buchs,  Enrico;2013;3;35;;24
Buchta,  Bettina Dorothee;2013;;44;365;23
Buck,  Josef;2013;4;44;;21
Büchner,  Andreas;2013;;39;574;31
Büddemann,  Manfred;2013;12;36;407;25
Büdel,  Katharina;2013;;35;410;25
Bühner,  Tim;2013;29;36;;29
Bülow,  Marco;2013;22;33;;25
Bünger,  Hans-Ulrich;2013;55;36;442;25
Büschleb,  Andreas;2013;;39;584;31
Büsing,  Erika-Marika;2013;;33;343;20
Buljevic,  Vesna;2013;5;44;;21
Bulke,  Peter;2013;8;40;;25
Bulling-Schröter,  Eva;2013;12;36;;31
Bulmahn,  Edelgard;2013;2;33;516;30
Bummel,  Andreas;2013;2;35;342;20
Bunge, Dr. Martina;2013;13;36;483;27
Burchardt,  Ursula;2013;2;33;311;18
Burgbacher,  Ernst;2013;27;35;443;25
Burger, Dr. Thomas;2013;3;33;584;31
Burger-Heidger,  Max;2013;53;37;;30
Burholt, Dr. Christian;2013;;34;584;31
Burkart,  Karin;2013;8;37;375;24
Burkert,  Boris;2013;2;37;595;32
Burkert,  Martin;2013;;33;528;30
Burkhardt,  Karl-Heinz;2013;13;53;544;30
Burkowski,  Franz Paul;2013;2;43;;24
Burmeister,  Erich Karl;2013;4;36;;21
Burmester,  Andreas;2013;;33;421;25
Bursian,  Thomas Wolfgang;2013;41;35;;20
Bursukis,  Yani;2013;24;33;;29
Busch-Hübenbecker,  Walter;2013;28;36;;27
Buschmann,  Marco;2013;;35;485;27
Bussche-Haddenhausen Freiherr von dem,  Boris-Georg;2013;20;35;423;25
Bußmann,  Windfried;2013;22;59;337;20
Butenschön,  Brigitte;2013;3;44;;25
Caesar,  Cajus Julius;2013;7;34;;20
Canel,  Sylvia;2013;20;35;435;25
Caravetta Glosemeyer,  Immacolata;2013;2;33;;19
Carlhoff,  Hans-Werner;2013;43;34;;20
Carls,  Richard Hermann;2013;38;53;;31
Carstensen,  Christian;2013;3;33;;20
Caspary,  Olaf;2013;5;53;321;19
Castellucci, Dr. Lars;2013;3;33;;24
Cayrol,  Nicole;2013;22;33;576;31
Christen,  Mario;2013;28;56;;32
Christiansen,  Rainer Helmar;2013;1;;;24
Christinck,  Heiner Leslie Otto;2013;;41;379;24
Christoph,  Stefan;2013;3;37;413;25
Ciechoradzki,  Rainer;2013;22;56;533;30
Cigelski,  Volker;2013;5;39;;28
Claaßen,  Antje;2013;;36;548;30
Clasen,  Bernhard;2013;;36;594;31
Claus,  Roland;2013;;36;409;25
Claussen,  Claus Christian;2013;4;34;373;23
Clemens,  Stefan Georg;2013;14;41;;17
Coelho,  Christine;2013;12;54;;30
Cölsch,  Ingrid;2013;4;54;;31
Connemann,  Gitta;2013;1;34;379;24
Conrad,  Gabriele Maria;2013;12;44;325;20
Conrads,  Anna;2013;;36;570;31
Conz,  Michael;2013;19;35;;25
Cordes,  Florian;2013;17;39;557;30
Corné de,  Walter;2013;;48;328;20
Corr,  Eva-Maria;2013;6;41;;25
Coscia,  Lino;2013;3;;;29
Crämer,  Thorsten;2013;;39;340;20
Cramon-Taubadel von,  Viola;2013;;37;438;25
Cremer,  Claus;2013;7;39;352;20
Cremer-Ricken,  Ruth;2013;1;37;440;25
Crone,  Petra;2013;;33;587;31
Croy,  Corinna;2013;12;36;449;25
Cüre,  Irfan;2013;17;36;539;30
Curlisca,  Jaroslav;2013;6;46;;19
Cwielong,  Dieter;2013;15;36;;30
Czapp,  Mechthild;2013;;57;302;17
Czech,  Michael;2013;4;52;;25
Czichon,  Eberhard;2013;10;52;;24
Dabrock,  Heinz;2013;11;41;;24
Dänzer,  Margit;2013;1;54;598;32
Däschner,  Karl;2013;6;39;;31
Dagdelen,  Sevim;2013;;36;577;31
Dahl,  Monika;2013;7;36;440;25
Dahlhoff,  Benjamin;2013;17;37;397;25
Dahlmann,  Thomas;2013;18;33;;27
Dahmen,  Janosch;2013;60;37;;25
Dalbert, Dr. Claudia;2013;;37;439;25
Daldrup,  Bernhard;2013;3;33;372;23
Dambacher,  Michael;2013;18;34;430;25
Dammann,  Adolf;2013;39;39;;31
Danckert, Dr. Peter;2013;;33;330;20
Dannemann,  Bernd;2013;3;55;362;22
Dassler,  Britta;2013;4;35;;22
Daub,  Helga;2013;30;35;541;30
Dauen,  Gwenn Patrick;2013;15;57;448;25
Dauter,  Horst;2013;2;;;21
Dautzenberg,  Leo;2013;;34;350;20
Daxlberger,  Elfriede Katharina;2013;54;58;389;25
De Filippi,  Diego;2013;8;42;;30
Debrand,  Christa;2013;4;41;;31
Debus,  Cornelia;2013;4;35;;32
Decker,  Thomas Michael Matthias;2013;14;34;324;20
Dedecke,  Wilhelm;2013;41;36;;20
Dehde,  Klaus-Peter;2013;;33;391;25
Dehm-Desoi, Dr. Jörg-Diether;2013;34;36;;20
Deligöz,  Ekin;2013;1;37;;20
Demele,  Armin;2013;5;56;554;30
Demuth,  Erika;2013;;34;565;31
Dennhoven,  Hans Günter;2013;33;;;29
Denz,  Christine;2013;;37;409;25
Denzer,  Theodor;2013;;35;575;31
Derabin,  Paul;2013;57;34;;30
Dere,  Zeynep;2013;37;36;;20
Deter,  Tilla-Louise;2013;15;35;;25
Dethlefsen,  Knut Matthias;2013;23;33;582;31
Dettmer,  Wiltrud;2013;14;;;17
Dettweiler,  Rudolf;2013;;;366;23
Detzler,  Michael;2013;;34;380;24
Deubel,  Holger;2013;18;39;;32
Deuschle,  Andreas;2013;;34;501;29
Deuschle,  Ulrich;2013;22;40;;31
Deutsch,  Paul;2013;2;44;;31
Deutschmann,  Reiner Peter;2013;3;35;350;20
Dick,  Arno;2013;4;33;456;26
Dicke,  Veronika;2013;60;33;;20
Didlap, Dr. Charlotte;2013;20;;;17
Diebler,  Jens;2013;;41;329;20
Diebold,  Gudrun;2013;13;56;;30
Dieckmann,  Jan;2013;;;591;31
Dieckmann,  Mali;2013;;;401;25
Dierbeck,  Sandro;2013;;35;393;25
Dießner,  Norman;2013;;37;461;26
Dietert,  Edeltraud;2013;10;;475;27
Dietrich,  Klaus;2013;;39;511;29
Dietrich,  Matthias;2013;;56;485;27
Dietrich,  Rolf;2013;6;39;589;31
Diggance,  Christina;2013;7;54;;23
Dilcher,  Esther;2013;3;33;;31
Dillschneider,  Dirk;2013;27;34;;27
Dimitrov,  Michael;2013;6;35;;32
Dinar,  Erkan;2013;56;36;407;25
Dippel,  Konrad Willibald;2013;;;540;30
Dirks,  Alfred;2013;;36;534;30
Ditsche,  Frank Holger Kurt;2013;23;;;20
Dittrich,  Heidrun;2013;;36;377;24
Djir-Sarai, Dr. Bijan;2013;3;35;342;20
Dloczik, Dr. Larissa;2013;13;56;408;25
Dobelmann,  Josef;2013;4;37;;24
Dobler,  Wolfgang;2013;;35;332;20
Dobrindt,  Alexander;2013;26;38;594;31
Döcke,  Wolfgang;2013;5;35;525;30
Döhring,  Sebastian;2013;;39;368;23
Dören, Prof. Dr. Martina;2013;10;33;;24
Dörflinger,  Thomas;2013;12;34;;24
Döring,  Patrick;2013;;35;587;31
Döring,  Waltraud;2013;5;56;342;20
Döring,  Wilfried;2013;9;56;;28
Dörken,  Axel;2013;13;;;28
Dörken,  Peter J.;2013;;58;431;25
Dörlitz,  Helmut;2013;14;53;514;30
Dörmann,  Martin;2013;4;33;;19
Dörner,  Katja;2013;54;37;393;25
Dörnhöfer,  Uwe;2013;5;33;396;25
Dörr,  Joachim;2013;44;33;514;30
Döscher,  Vera Nadja;2013;22;35;;32
Dött,  Marie-Luise;2013;5;34;;26
Dohmen,  Norbert;2013;9;37;417;25
Doll,  Helmut-Hartwig;2013;32;36;;25
Doll,  Pauli;2013;;46;330;20
Domes,  Norbert;2013;;36;525;30
Dormuth,  Dennis;2013;;39;468;27
Dorn,  Hubert;2013;;46;429;25
Dorst,  Bernd;2013;11;;;30
Dotten,  Horst;2013;;44;540;30
Dotzler,  Thomas;2013;;46;419;25
Drage van,  Alexander Ewald;2013;6;40;535;30
Dreblow,  Wolf-Henry;2013;13;35;;30
Dreetz,  Jochen;2013;6;37;373;23
Dreibus,  Werner;2013;6;36;373;23
Dreischer, Dr. Artur;2013;4;48;479;27
Drerup, Dr. Ulrich;2013;1;34;;31
Drescher,  Max Jürgen;2013;22;35;;17
Dressel, Dr. Carl-Christian;2013;27;33;;29
Drewes,  Hans-Joachim;2013;19;58;537;30
Drexler,  Gerhard;2013;3;35;;21
Drinkard,  Heidi;2013;15;39;526;30
Drinkmann,  Klaus Willy;2013;;59;561;31
Drinkmann,  Waltraud Lotte;2013;8;59;;25
Drobinski-Weiß,  Elvira;2013;11;33;;25
Drothler,  Ute Regina;2013;11;56;583;31
Ducke,  Kai-Uwe;2013;14;45;521;30
Duda,  Wolfgang Georg;2013;2;39;465;26
Duin,  Garrelt;2013;16;33;417;25
Dullinger,  Angelica;2013;1;33;324;20
Dumberger,  Andrea Brigitte;2013;26;44;525;30
Dumberger,  Klaus;2013;8;44;;30
Dusper,  Nina;2013;1;44;517;30
Duwe, Dr. Kurt Carlos;2013;26;35;;25
Dyckmans,  Mechthild;2013;3;35;323;19
Dyhr,  Thomas;2013;5;37;468;27
Eberhard,  Klaus-Peter;2013;5;35;359;22
Eberhard-Forschner,  Dagmar;2013;5;44;307;17
Eberl, Dr. Christian;2013;;35;407;25
Eberle,  Johann;2013;;46;352;20
Ebert,  Dieter;2013;16;40;;30
Ebner,  Harald;2013;16;37;;31
Eckenbach,  Jutta;2013;12;34;567;31
Eckert,  Michael;2013;30;;419;25
Eckert van,  René;2013;;33;583;31
Eckhardt,  Hannelore;2013;47;33;;30
Eckler,  Herbert;2013;22;45;;27
Edathy,  Sebastian;2013;5;33;;25
Effertz,  Lars Oliver;2013;15;35;340;20
Eggers,  Jürgen;2013;40;36;391;25
Egloff,  Ingo;2013;;33;345;20
Ehinger,  Hasso;2013;3;36;322;19
Ehnes,  Hans-Joachim;2013;;36;566;31
Ehrenberg,  Hans-Werner;2013;10;35;541;30
Ehrhardt,  Robert;2013;23;40;447;25
Ehrl,  Ewald;2013;3;39;;26
Ehrlich,  Martina;2013;;33;533;30
Ehrmann,  Siegmund;2013;19;33;;29
Ehrreich,  Bernd;2013;53;39;414;25
Eichhorst,  Ulrich;2013;;33;598;32
Eichler,  Martin;2013;39;56;;20
Eichler,  Rainer Hans;2013;15;40;;30
Eichstädt-Bohlig,  Franziska;2013;9;37;;26
Eicker,  Hermann Josef Jupp;2013;;44;386;24
Eickmeier,  Andreas;2013;9;35;;25
Eifler,  Andreas;2013;32;44;434;25
Eifler,  Manuela;2013;1;44;495;28
Eigemeier,  Ellen;2013;4;56;;28
Eigen,  Helmut;2013;4;36;;29
Eigenfeld,  Ulrich;2013;14;39;442;25
Eigenthaler,  Egon;2013;1;40;;20
Einrauch,  Gerhard Fritz;2013;7;40;;31
Einsle,  Toralf;2013;2;35;;21
Eisel, Dr. Stephan;2013;10;34;457;26
Eisele,  Dietmar;2013;38;37;396;25
Eisold,  Klaus Peter;2013;;33;424;25
Eitel,  Henrik;2013;30;34;;29
El-Hussein,  Hanaa;2013;7;35;;32
Ellendt, Dr. Andreas;2013;6;34;386;24
Ellenrieder,  Stefan;2013;15;46;;17
Emcke,  René;2013;17;57;;30
Enders,  Raimund Karl;2013;1;41;;23
Endres,  Thomas;2013;7;36;521;30
