Wahlkreisname;Wahlberechtigte;Jahr;Land
Flensburg – Schleswig;225216;2013;17
Nordfriesland – Dithmarschen Nord;187047;2013;17
Steinburg – Dithmarschen Süd;177604;2013;17
Rendsburg-Eckernförde;198910;2013;17
Kiel;200347;2013;17
Plön – Neumünster;175132;2013;17
Pinneberg;232899;2013;17
Segeberg – Stormarn-Mitte;240010;2013;17
Ostholstein – Stormarn-Nord;179987;2013;17
Herzogtum Lauenburg – Stormarn-Süd;237144;2013;17
Lübeck;180424;2013;17
Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;226424;2013;18
Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;217571;2013;18
Rostock – Landkreis Rostock II;224968;2013;18
Vorpommern-Rügen – Vorpommern-Greifswald I;253514;2013;18
Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;247700;2013;18
Mecklenburgische Seenplatte II – Landkreis Rostock III;230121;2013;18
Hamburg-Mitte;249150;2013;19
Hamburg-Altona;178340;2013;19
Hamburg-Eimsbüttel;185790;2013;19
Hamburg-Nord;207016;2013;19
Hamburg-Wandsbek;217147;2013;19
Hamburg-Bergedorf – Harburg;219191;2013;19
Aurich – Emden;189804;2013;20
Unterems;231076;2013;20
Friesland – Wilhelmshaven – Wittmund;190546;2013;20
Oldenburg – Ammerland;215591;2013;20
Delmenhorst – Wesermarsch – Oldenburg-Land;226440;2013;20
Cuxhaven – Stade II;189058;2013;20
Stade I – Rotenburg II;192956;2013;20
Mittelems;226979;2013;20
Cloppenburg – Vechta;212449;2013;20
Diepholz – Nienburg I;193411;2013;20
Osterholz – Verden;192320;2013;20
Rotenburg I – Heidekreis;168573;2013;20
Harburg;191159;2013;20
Lüchow-Dannenberg – Lüneburg;177098;2013;20
Osnabrück-Land;197143;2013;20
Stadt Osnabrück;192473;2013;20
Nienburg II – Schaumburg;198376;2013;20
Stadt Hannover I;180088;2013;20
Stadt Hannover II;190623;2013;20
Hannover-Land I;232214;2013;20
Celle – Uelzen;217316;2013;20
Gifhorn – Peine;216957;2013;20
Hameln-Pyrmont – Holzminden;197394;2013;20
Hannover-Land II;239450;2013;20
Hildesheim;222804;2013;20
Salzgitter – Wolfenbüttel;213208;2013;20
Braunschweig;189975;2013;20
Helmstedt – Wolfsburg;187831;2013;20
Goslar – Northeim – Osterode;214330;2013;20
Göttingen;224468;2013;20
Bremen I;256131;2013;21
Bremen II – Bremerhaven;231847;2013;21
Prignitz – Ostprignitz-Ruppin – Havelland I;171705;2013;22
Uckermark – Barnim I;168604;2013;22
Oberhavel – Havelland II;249983;2013;22
Märkisch-Oderland – Barnim II;255845;2013;22
Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I;199083;2013;22
Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;239221;2013;22
Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;246651;2013;22
Frankfurt (Oder) – Oder-Spree;208525;2013;22
Cottbus – Spree-Neiße;196389;2013;22
Elbe-Elster – Oberspreewald-Lausitz II;192709;2013;22
Altmark;182677;2013;23
Börde – Jerichower Land;239481;2013;23
Harz;237308;2013;23
Magdeburg;249356;2013;23
Dessau – Wittenberg;197289;2013;23
Anhalt;253026;2013;23
Halle;223268;2013;23
Burgenland – Saalekreis;214081;2013;23
Mansfeld;232086;2013;23
Berlin-Mitte;197252;2013;24
Berlin-Pankow;232250;2013;24
Berlin-Reinickendorf;183112;2013;24
Berlin-Spandau – Charlottenburg Nord;184436;2013;24
Berlin-Steglitz-Zehlendorf;217335;2013;24
Berlin-Charlottenburg-Wilmersdorf;195857;2013;24
Berlin-Tempelhof-Schöneberg;232759;2013;24
Berlin-Neukölln;197444;2013;24
Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;222647;2013;24
Berlin-Treptow-Köpenick;200391;2013;24
Berlin-Marzahn-Hellersdorf;203416;2013;24
Berlin-Lichtenberg;204766;2013;24
Aachen I;176885;2013;25
Aachen II;228546;2013;25
Heinsberg;187605;2013;25
Düren;199907;2013;25
Rhein-Erft-Kreis I;245417;2013;25
Euskirchen – Rhein-Erft-Kreis II;245382;2013;25
Köln I;186798;2013;25
Köln II;224430;2013;25
Köln III;197023;2013;25
Bonn;219218;2013;25
Rhein-Sieg-Kreis I;231404;2013;25
Rhein-Sieg-Kreis II;211859;2013;25
Oberbergischer Kreis;211963;2013;25
Rheinisch-Bergischer Kreis;215582;2013;25
Leverkusen – Köln IV;213303;2013;25
Wuppertal I;216614;2013;25
Solingen – Remscheid – Wuppertal II;229927;2013;25
Mettmann I;204450;2013;25
Mettmann II;168402;2013;25
Düsseldorf I;218215;2013;25
Düsseldorf II;195910;2013;25
Neuss I;213950;2013;25
Mönchengladbach;194294;2013;25
Krefeld I – Neuss II;204291;2013;25
Viersen;227805;2013;25
Kleve;226029;2013;25
Wesel I;207451;2013;25
