Wahlkreisname;Wahlberechtigte;Jahr;Land
Krefeld II – Wesel II;182878;2013;25
Duisburg I;174332;2013;25
Duisburg II;171011;2013;25
Oberhausen – Wesel III;212283;2013;25
Mülheim – Essen I;194638;2013;25
Essen II;171457;2013;25
Essen III;197729;2013;25
Recklinghausen I;174767;2013;25
Recklinghausen II;194999;2013;25
Gelsenkirchen;187486;2013;25
Steinfurt I – Borken I;200304;2013;25
Bottrop – Recklinghausen III;208655;2013;25
Borken II;196659;2013;25
Coesfeld – Steinfurt II;189353;2013;25
Steinfurt III;192966;2013;25
Münster;210934;2013;25
Warendorf;211287;2013;25
Gütersloh I;232944;2013;25
Bielefeld – Gütersloh II;247085;2013;25
Herford – Minden-Lübbecke II;233781;2013;25
Minden-Lübbecke I;209155;2013;25
Lippe I;174517;2013;25
Höxter – Lippe II;216917;2013;25
Paderborn – Gütersloh III;243442;2013;25
Hagen – Ennepe-Ruhr-Kreis I;217768;2013;25
Ennepe-Ruhr-Kreis II;183435;2013;25
Bochum I;214358;2013;25
Herne – Bochum II;188777;2013;25
Dortmund I;214213;2013;25
Dortmund II;208840;2013;25
Unna I;202933;2013;25
Hamm – Unna II;239907;2013;25
Soest;232781;2013;25
Hochsauerlandkreis;209440;2013;25
Siegen-Wittgenstein;218411;2013;25
Olpe – Märkischer Kreis I;214196;2013;25
Märkischer Kreis II;210993;2013;25
Nordsachsen;178447;2013;26
Leipzig I;202455;2013;26
Leipzig II;212804;2013;26
Leipzig-Land;231084;2013;26
Meißen;216629;2013;26
Bautzen I;237786;2013;26
Görlitz;238958;2013;26
Sächsische Schweiz-Osterzgebirge;215674;2013;26
Dresden I;230676;2013;26
Dresden II – Bautzen II;231247;2013;26
Mittelsachsen;223149;2013;26
Chemnitz;205652;2013;26
Chemnitzer Umland – Erzgebirgskreis II;202743;2013;26
Erzgebirgskreis I;247624;2013;26
Zwickau;229535;2013;26
Vogtlandkreis;213732;2013;26
Waldeck;192360;2013;27
Kassel;222636;2013;27
Werra-Meißner – Hersfeld-Rotenburg;184337;2013;27
Schwalm-Eder;194732;2013;27
Marburg;185071;2013;27
Lahn-Dill;212611;2013;27
Gießen;214882;2013;27
Fulda;210695;2013;27
Main-Kinzig – Wetterau II – Schotten;181422;2013;27
Hochtaunus;182246;2013;27
Wetterau I;173946;2013;27
Rheingau-Taunus – Limburg;221226;2013;27
Wiesbaden;187479;2013;27
Hanau;175874;2013;27
Main-Taunus;195505;2013;27
Frankfurt am Main I;190058;2013;27
Frankfurt am Main II;212140;2013;27
Groß-Gerau;172278;2013;27
Offenbach;221180;2013;27
Darmstadt;233622;2013;27
Odenwald;234911;2013;27
Bergstraße;199708;2013;27
Eichsfeld – Nordhausen – Unstrut-Hainich-Kreis I;204717;2013;28
Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis II;201700;2013;28
Kyffhäuserkreis – Sömmerda – Weimarer Land I;201075;2013;28
Gotha – Ilm-Kreis;214510;2013;28
Erfurt – Weimar – Weimarer Land II;225534;2013;28
Gera – Jena – Saale-Holzland-Kreis;245228;2013;28
Greiz – Altenburger Land;182336;2013;28
Sonneberg – Saalfeld-Rudolstadt – Saale-Orla-Kreis;231447;2013;28
Suhl – Schmalkalden-Meiningen – Hildburghausen;207012;2013;28
Neuwied;242568;2013;29
Ahrweiler;195658;2013;29
Koblenz;196560;2013;29
Mosel/Rhein-Hunsrück;178493;2013;29
Kreuznach;190569;2013;29
Bitburg;168357;2013;29
Trier;192571;2013;29
Montabaur;213225;2013;29
Mainz;251837;2013;29
Worms;202156;2013;29
Ludwigshafen/Frankenthal;217445;2013;29
Neustadt – Speyer;220974;2013;29
Kaiserslautern;235030;2013;29
Pirmasens;184220;2013;29
Südpfalz;214215;2013;29
Altötting;166775;2013;30
Erding – Ebersberg;185961;2013;30
Freising;212087;2013;30
Fürstenfeldbruck;244678;2013;30
Ingolstadt;250512;2013;30
München-Nord;220785;2013;30
München-Ost;231017;2013;30
München-Süd;211617;2013;30
München-West/Mitte;231682;2013;30
München-Land;242625;2013;30
Rosenheim;226483;2013;30
Starnberg;242366;2013;30
Traunstein;205115;2013;30
Weilheim;249153;2013;30
Deggendorf;154767;2013;30
Landshut;246833;2013;30
Passau;186068;2013;30
Rottal-Inn;162109;2013;30
Straubing;173068;2013;30
Amberg;214616;2013;30
Regensburg;243083;2013;30
Schwandorf;216044;2013;30
Weiden;172011;2013;30
Bamberg;177197;2013;30
Bayreuth;164344;2013;30
Coburg;162834;2013;30
Hof;180735;2013;30
Kulmbach;173473;2013;30
Ansbach;243953;2013;30
Erlangen;177261;2013;30
Fürth;249703;2013;30
Nürnberg-Nord;189738;2013;30
Nürnberg-Süd;184672;2013;30
Roth;224946;2013;30
Aschaffenburg;183872;2013;30
Bad Kissingen;219607;2013;30
Main-Spessart;199081;2013;30
Schweinfurt;200116;2013;30
Würzburg;225807;2013;30
Augsburg-Stadt;206196;2013;30
Augsburg-Land;240672;2013;30
Donau-Ries;189097;2013;30
Neu-Ulm;235775;2013;30
Oberallgäu;221708;2013;30
Ostallgäu;242341;2013;30
Stuttgart I;184454;2013;31
Stuttgart II;181088;2013;31
Böblingen;244919;2013;31
Esslingen;165210;2013;31
Nürtingen;204091;2013;31
Göppingen;180442;2013;31
Waiblingen;220220;2013;31
Ludwigsburg;206805;2013;31
Neckar-Zaber;224090;2013;31
Heilbronn;241035;2013;31
Schwäbisch Hall – Hohenlohe;223234;2013;31
Backnang – Schwäbisch Gmünd;176381;2013;31
Aalen – Heidenheim;224418;2013;31
Karlsruhe-Stadt;201833;2013;31
Karlsruhe-Land;208654;2013;31
Rastatt;208664;2013;31
Heidelberg;211807;2013;31
Mannheim;198437;2013;31
Odenwald – Tauber;215910;2013;31
Rhein-Neckar;195971;2013;31
Bruchsal – Schwetzingen;194304;2013;31
Pforzheim;220877;2013;31
Calw;198923;2013;31
Freiburg;210636;2013;31
Lörrach – Müllheim;225703;2013;31
Emmendingen – Lahr;213013;2013;31
Offenburg;204619;2013;31
Rottweil – Tuttlingen;200726;2013;31
Schwarzwald-Baar;167458;2013;31
Konstanz;197671;2013;31
Waldshut;177784;2013;31
Reutlingen;198399;2013;31
Tübingen;189559;2013;31
Ulm;218934;2013;31
Biberach;162508;2013;31
Bodensee;167789;2013;31
Ravensburg;181362;2013;31
Zollernalb – Sigmaringen;185890;2013;31
Saarbrücken;207292;2013;32
Saarlouis;214924;2013;32
St. Wendel;184896;2013;32
Homburg;201442;2013;32
