Name;Jahr;Listenplatz;Partei;Wahlkreis;Bundesland
Baumgärtner, Dr. Albert;2009;;9;272;15
Baumgartner, Roman;2009;30;2;;15
Bäumler, Werner;2009;;6;225;14
Baur, Rudolf;2009;10;8;;11
Bayerlein, Christian;2009;6;4;;13
Bäz-Dölle, Uwe;2009;;9;197;12
Bebber van, Ulrich Heinrich;2009;7;5;200;13
Bechstein, Dr. Thilo Gunter;2009;2;19;;10
Beck von der, Sabine;2009;;4;123;9
Beck, Bernd;2009;9;9;294;15
Beck, Ernst-Reinhard;2009;;2;290;15
Beck, Manuela;2009;37;2;;13
Beck, Marieluise;2009;1;4;54;5
Beck, Volker;2009;4;4;95;9
Beck, Walter;2009;;9;194;12
Becker, Bernd;2009;16;1;;13
Becker, Dirk;2009;27;1;136;9
Becker, Felix;2009;31;5;90;9
Becker, Gertrud;2009;9;17;;9
Becker, Ludger;2009;9;8;;9
Becker, Martin;2009;11;1;;16
Becker, Otto;2009;3;9;;16
Becker, Philipp;2009;;6;58;6
Becker, Thomas;2009;50;2;;11
Becker, Uwe;2009;;23;103;9
Beckmann-Dierkes, Norbert;2009;8;2;67;7
Beckmeyer, Uwe Karl;2009;3;1;55;5
Beckstein, Dr. Günther;2009;4;3;;14
Beekhuis, Jochen Heiner;2009;59;1;;4
Behm, Cornelia;2009;1;4;64;6
Behn, Karl Werner;2009;8;5;30;4
Behrendt, Barbara;2009;11;8;;9
Behrmann, Armin;2009;11;11;;8
Beier, Andreas;2009;;32;292;15
Beier, Klaus;2009;2;9;63;6
Beimes, Petra;2009;19;6;;4
Beinkämpen, Günter;2009;5;11;;11
Bell, Arvid;2009;16;4;93;9
Bellmann, Peggy Franziska;2009;7;5;160;10
Bellmann, Veronika Maria;2009;6;2;162;10
Belzner, Michael;2009;5;8;;15
Bender, Annemarie;2009;75;2;;9
Bender, Birgitt;2009;7;4;260;15
Bender, Erwin;2009;;9;185;11
Bender, Marie;2009;9;5;;16
Bender, Nina;2009;16;2;;15
