Wahlkreis;SPD;CDU;FDP;DIELINKE;GRUENE;CSU;NPD;REP;FAMILIE;DieTierschutzpartei;PBC;MLPD;BueSo;BP;Volksabstimmung;ZENTRUM;ADM;DKP;DIEVIOLETTEN;oedp;PIRATEN;RRP;FreieUnion;Uebrige
354;58879;39186;10850;21647;16985;0;2614;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1563;0;423
355;33532;22851;8162;32198;4483;0;3314;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
356;27570;26416;6372;32670;4371;0;3918;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;781
357;48621;46088;12963;40334;12193;0;5400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1008
358;38545;39959;11139;62644;8195;0;6096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2846
359;40957;30733;7328;35484;4771;0;3764;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1638
360;48720;40708;12356;48515;16479;0;3061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
361;53384;40882;11959;43348;9041;0;5992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
362;38470;30153;10125;43589;7502;0;4928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
363;34529;29829;10878;37224;5650;0;4806;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1045
364;32688;35073;8487;34324;3861;0;5513;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;915;587
365;22070;34501;6558;36910;3725;0;2461;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4203
366;31994;46686;13914;41040;5041;0;3446;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;733
367;28783;46720;10250;44002;7796;0;3871;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1
368;32420;45389;9686;47303;8572;0;2539;0;0;0;0;612;0;0;0;0;0;0;0;0;0;0;0;844
369;22187;43424;8810;36809;5004;0;2928;0;0;0;0;544;0;0;0;0;0;0;0;0;0;0;0;878
370;30774;44726;11119;44803;4938;0;3719;0;0;0;0;900;0;0;0;0;0;0;0;0;0;0;0;1138
371;22341;42430;11760;46272;11056;0;2483;0;0;0;0;981;0;0;0;0;0;0;0;0;0;0;0;0
372;23592;41281;11224;39610;3950;0;4399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;912
373;23028;43014;10818;47051;5465;0;4337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
374;33943;28760;8869;24871;28108;0;2110;0;0;0;0;0;951;0;0;0;0;0;0;0;0;0;0;2994
375;44769;28374;9604;47070;26674;0;3702;0;0;0;0;0;1090;0;0;0;0;0;0;0;0;0;0;1980
376;35540;50554;13711;10525;13875;0;2613;0;0;0;0;0;879;0;0;0;0;0;0;0;0;0;0;1796
377;41051;44994;10612;11446;10853;0;2463;0;0;0;0;285;1245;0;0;0;0;0;0;0;0;0;0;752
378;45691;66075;15138;9325;27392;0;1544;0;1416;0;0;0;462;0;0;0;0;0;875;0;0;0;0;2267
379;47340;44549;16397;9978;26778;0;1187;0;0;0;0;0;912;0;0;0;0;0;0;0;0;0;0;592
380;38244;54971;13292;13787;44506;0;2413;0;0;0;0;0;1328;0;0;0;0;0;0;0;0;0;0;854
381;35168;39618;11468;15852;18805;0;3356;0;0;0;0;218;0;0;0;0;0;280;0;0;0;0;0;3933
382;26415;18394;6425;27796;73897;0;1791;0;0;0;0;0;0;0;0;0;0;649;0;0;0;0;0;2922
383;25520;29124;6247;62880;10495;0;4092;0;0;0;0;398;1131;0;0;0;0;0;0;0;0;0;0;625
384;20336;24563;6969;60236;7242;0;4725;0;0;0;0;0;1564;0;0;0;0;0;0;0;0;0;0;766
385;24028;22566;5048;61874;9652;0;4492;0;0;0;0;0;1384;0;0;0;0;0;0;0;0;0;0;1439
386;38523;50703;11554;9520;17241;0;1088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
387;54205;63511;13275;13502;11056;0;2501;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
388;31111;65143;12342;9859;8933;0;1964;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
389;43655;65662;10745;10079;8956;0;2514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
390;63487;69845;18620;11215;11195;0;2620;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;458
391;50035;75290;20620;11679;12239;0;2321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;464
392;43837;42094;10902;10614;15557;0;1971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;318
393;55471;59710;18455;9550;26614;0;1131;0;0;0;0;281;0;0;0;0;0;0;0;0;0;0;0;0
394;47625;38093;11187;11390;22550;0;1788;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
395;55251;51674;31606;8381;16856;0;1211;0;0;0;0;0;251;0;0;0;0;0;446;0;0;0;0;0
396;42568;73959;18727;10523;15389;0;1765;0;0;0;0;0;0;0;1581;0;0;0;0;0;0;0;0;319
397;39489;80363;16012;7430;14046;0;1443;0;0;0;0;0;0;0;969;0;0;0;0;0;0;0;0;0
398;41165;71759;12990;9599;10066;0;1734;0;0;0;0;0;0;0;0;0;0;0;0;458;0;0;0;449
399;43992;82523;14198;8561;13745;0;1643;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;409
400;53517;51242;11332;11723;13386;0;2364;0;0;0;0;323;0;0;0;0;0;0;0;0;0;0;0;529
401;51180;49021;11852;15003;13308;0;2337;0;0;0;0;287;0;0;0;0;0;0;0;0;0;0;0;0
402;54910;62365;13940;13418;12956;0;2446;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
403;50319;66300;11674;8412;10611;0;1690;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
404;43173;48276;11332;8418;8447;0;1503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
405;45125;68749;16472;10266;15894;0;1304;0;0;0;0;204;0;0;0;0;0;0;0;0;0;0;0;0
406;44295;50233;10758;12948;13137;0;1560;0;0;0;0;202;0;0;0;0;0;0;0;0;0;0;0;0
407;43614;70787;12763;8709;9935;0;2168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
408;33852;55784;11573;9233;10162;0;1569;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;243
409;43087;62639;18168;8641;12043;0;1358;0;2100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
410;41691;79359;15755;11102;12633;0;1836;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411;46290;76480;14620;8787;10148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
412;57225;57576;10624;11071;9873;0;1569;0;1583;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
413;50636;44906;11098;10123;9462;0;1425;0;0;0;0;270;0;0;0;0;0;0;0;0;0;0;0;0
414;50231;37146;6956;12481;8933;0;2102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;360
415;47568;27634;5734;11275;6288;0;3042;0;0;0;0;275;0;0;0;0;0;0;0;0;0;0;0;309
416;65189;40001;9231;14008;14772;0;2643;0;0;0;0;282;0;0;0;0;0;0;0;0;0;0;0;0
417;57547;44653;11852;12143;10801;0;1940;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
418;49023;28968;6967;11065;7352;0;2218;0;0;0;0;240;583;0;0;0;0;0;0;0;0;0;0;0
419;57055;53269;11035;10240;13969;0;1614;0;0;0;0;0;508;0;0;0;0;0;0;0;0;0;0;0
420;52627;37504;9090;12781;7846;0;2078;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;264
421;58984;44021;10678;13805;8603;0;2269;0;0;0;0;191;0;0;0;0;0;0;0;0;0;0;0;0
422;64623;31011;8344;0;9013;0;4199;0;0;0;0;1831;0;0;0;0;0;0;0;0;0;0;0;0
423;42736;63123;17533;8306;8774;0;1226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
424;62810;48290;9710;13765;8372;0;2391;0;0;0;0;243;0;0;0;0;0;0;0;1138;0;0;0;0
425;37324;79254;12521;6385;9706;0;1044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
426;37851;73636;14229;7634;10674;0;973;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
427;58679;61444;11613;9075;0;0;1129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
428;53029;63819;16131;7805;20822;0;718;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;235
429;49996;75187;16333;12005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
430;53509;74149;15138;9909;11924;0;0;0;0;0;0;0;0;0;0;0;0;0;0;625;0;0;0;455
431;61405;64621;10852;14056;24981;0;1784;0;0;0;0;0;394;0;0;0;0;0;0;0;0;0;0;0
432;62644;61244;15549;12090;11091;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
433;57561;61751;9628;8809;7636;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
434;50688;46447;11879;8492;8431;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
435;49149;71813;12086;9100;9957;0;1502;0;1586;0;0;0;0;0;0;0;0;0;0;455;0;0;0;0
436;43120;88754;15282;9436;12001;0;1757;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
437;63980;49893;11251;12188;8836;0;2679;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
438;54845;40763;13392;11180;11621;0;1762;0;0;0;0;285;0;0;0;0;0;0;0;0;0;0;0;285
439;65810;47030;8578;14741;12775;0;2268;0;0;0;0;259;486;0;0;0;0;0;0;0;0;0;0;0
440;64331;33693;8545;0;12393;0;2570;2768;0;0;0;1175;0;0;0;0;0;0;0;0;0;0;0;0
441;60839;40623;12890;14273;16141;0;2281;0;0;0;0;288;440;0;0;0;0;0;0;0;0;0;0;0
442;59141;40622;9387;14819;12292;0;2379;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;922
443;62638;47702;9418;12451;12737;0;2206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
444;72446;54088;14952;11638;8993;0;2981;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
445;47583;74725;15625;11432;11924;0;1800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
446;40010;77687;13753;9362;7966;0;1537;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
447;60500;64217;15482;12009;0;0;2399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
448;42273;70705;15568;10100;8476;0;2064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
449;59521;52751;11740;10431;6207;0;2331;0;0;2217;0;0;0;0;0;0;0;0;0;0;0;0;0;0
450;15860;44147;10611;27760;4357;0;5108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
451;24866;42704;11781;34015;8856;0;4202;0;0;0;0;0;1691;0;0;0;0;0;0;0;0;0;0;0
452;32841;41101;10505;36117;17345;0;3094;0;0;0;0;0;1674;0;0;0;0;0;0;0;0;0;0;0
453;23471;60969;14799;33044;6745;0;5988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1090
454;17236;62290;12403;29423;8315;0;7050;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1103
455;16870;64325;17755;38241;6505;0;8363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
456;17005;62338;13935;35786;7381;0;7842;0;0;0;0;0;2700;0;0;0;0;0;0;0;0;0;0;0
457;16194;62530;15292;28233;6378;0;7983;0;0;0;0;0;2150;0;0;0;0;0;0;0;0;0;0;0
458;25959;56749;14818;37180;13668;0;3851;0;0;0;0;0;1575;0;0;0;0;0;0;0;0;0;0;1413
459;22268;55401;18204;29679;18871;0;4389;0;0;0;0;436;1597;0;0;0;0;0;0;0;0;0;0;1436
460;20800;61579;14032;32744;5921;0;6320;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
461;27060;45876;12106;37433;8109;0;3800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
462;19247;54065;14092;33133;5360;0;5229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
463;17168;63211;23820;37166;5896;0;7930;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1580
464;20864;55605;13097;40265;6491;0;5394;0;0;0;0;0;995;0;0;0;0;0;0;0;0;0;0;520
465;21393;55128;12755;33586;5849;0;4908;0;0;0;1290;0;0;0;0;0;0;0;0;0;0;0;0;0
466;51737;48414;13180;10400;11209;0;1756;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;311
467;59621;47643;12188;15453;19246;0;1594;0;0;0;0;319;0;0;0;0;0;0;0;0;0;0;0;715
468;53275;45711;12290;11080;7530;0;2128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
469;56519;47053;13487;11395;9370;0;2275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
470;51712;47322;10964;10857;10366;0;1690;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
471;47897;60214;12968;9815;11032;0;2922;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
472;52287;55987;16804;10623;13484;0;2137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1188
473;35602;77514;15268;10267;11257;0;2972;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18
474;41711;52895;12321;9127;7982;0;2954;379;0;1690;0;0;0;0;0;0;0;0;0;0;0;0;0;124
475;35257;62748;16255;7522;12976;0;1081;862;0;2074;0;0;0;0;0;0;0;0;0;0;0;0;0;0
476;42438;53317;11785;7497;9434;0;2360;0;0;1785;0;0;0;0;0;0;0;0;0;0;0;0;0;251
477;45127;75224;17463;9066;13141;0;1432;1603;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
478;42751;53416;12350;9016;10970;0;1516;0;0;0;0;0;588;0;0;0;0;0;0;0;0;0;0;444
479;43514;48218;10972;8909;8536;0;1577;1385;0;2443;0;0;0;0;0;0;0;0;0;0;0;0;0;0
480;36629;72680;18588;7718;15618;0;1694;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
481;39147;45866;12876;12031;15701;0;1327;862;0;1879;0;170;353;0;0;0;0;0;0;0;0;0;0;0
482;45074;55027;14336;11998;23403;0;1546;0;0;2077;0;0;416;0;0;0;0;0;0;0;0;0;0;0
483;44973;45410;10177;9449;12072;0;2457;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;482
484;44542;62281;15843;11594;15243;0;2434;0;0;2722;0;0;0;0;0;0;0;0;0;0;0;0;0;229
485;60581;60536;13553;11213;20963;0;1860;0;0;0;0;0;0;0;0;0;396;0;0;0;3866;0;0;0
486;50797;69191;18409;11574;16215;0;2183;1772;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1281
487;44903;64472;12966;9171;11296;0;2365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
488;22854;57882;9942;33005;5540;0;3798;0;0;0;0;0;0;0;0;0;0;0;0;1416;0;0;0;309
489;29106;44903;8211;35666;4921;0;4864;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1392
490;22839;42706;9808;39605;5762;0;4857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;595
