Wkr.-Nr.;Jahr;Wahlberechtigte
98;2013;213791
99;2013;209414
100;2013;216414
101;2013;214098
102;2013;213132
103;2013;226117
104;2013;205564
105;2013;165493
106;2013;218889
107;2013;196250
108;2013;214614
109;2013;192676
110;2013;202204
111;2013;227631
112;2013;225823
113;2013;207485
114;2013;182593
115;2013;171223
116;2013;166103
117;2013;208991
118;2013;191475
119;2013;167962
120;2013;195692
121;2013;172167
122;2013;191504
123;2013;181476
124;2013;201091
125;2013;206061
126;2013;198648
127;2013;190611
128;2013;193909
129;2013;227762
130;2013;210355
131;2013;233596
132;2013;247179
133;2013;230975
134;2013;206505
135;2013;172330
136;2013;213488
137;2013;247138
138;2013;212903
139;2013;181174
140;2013;210904
141;2013;184009
142;2013;213946
143;2013;206701
144;2013;200068
145;2013;238091
146;2013;232311
147;2013;205948
148;2013;215751
149;2013;210836
150;2013;206189
151;2013;168695
152;2013;210456
153;2013;219865
154;2013;220400
155;2013;207261
156;2013;223726
157;2013;223614
158;2013;207752
159;2013;233382
160;2013;235691
161;2013;210677
162;2013;201249
163;2013;191550
164;2013;232499
165;2013;217679
166;2013;201934
167;2013;189728
168;2013;224555
169;2013;180203
170;2013;191354
171;2013;184686
172;2013;210867
173;2013;215246
174;2013;209960
175;2013;180491
176;2013;182026
177;2013;175085
178;2013;220668
179;2013;189698
180;2013;177413
181;2013;196605
182;2013;195615
183;2013;219357
184;2013;174002
185;2013;221650
186;2013;240017
187;2013;234360
188;2013;199685
189;2013;196621
190;2013;192663
191;2013;191261
192;2013;205859
193;2013;224121
194;2013;238320
195;2013;170746
196;2013;218597
197;2013;196071
198;2013;240333
199;2013;195077
200;2013;198113
201;2013;175441
202;2013;187473
203;2013;166313
204;2013;193803
205;2013;211010
206;2013;256317
207;2013;201931
208;2013;217129
209;2013;220643
210;2013;232164
211;2013;180540
212;2013;216137
213;2013;167160
214;2013;192385
215;2013;216717
216;2013;251146
217;2013;254661
218;2013;225557
219;2013;236523
220;2013;215368
221;2013;239700
222;2013;247787
223;2013;231069
224;2013;245379
225;2013;206868
226;2013;252724
227;2013;155082
228;2013;251273
229;2013;186392
230;2013;163308
231;2013;173773
232;2013;215146
233;2013;248820
234;2013;216389
235;2013;170403
236;2013;179923
237;2013;164828
238;2013;160103
239;2013;174569
240;2013;172449
241;2013;243643
242;2013;179506
243;2013;253603
244;2013;193031
245;2013;185799
246;2013;226102
247;2013;184171
248;2013;217994
249;2013;197762
250;2013;200150
251;2013;226597
252;2013;208231
253;2013;244203
254;2013;189974
255;2013;237651
256;2013;224278
257;2013;244541
258;2013;191191
259;2013;183064
260;2013;247128
261;2013;166975
262;2013;205756
263;2013;179130
264;2013;221739
265;2013;209968
266;2013;226751
267;2013;241656
268;2013;224384
269;2013;175434
270;2013;222959
271;2013;205735
272;2013;209733
273;2013;207555
274;2013;215943
275;2013;198525
276;2013;213424
277;2013;197424
278;2013;195953
279;2013;219976
280;2013;197679
281;2013;219472
282;2013;229316
283;2013;215623
284;2013;205119
285;2013;199241
286;2013;166191
287;2013;202393
288;2013;177313
289;2013;199091
290;2013;193188
291;2013;220702
292;2013;163772
293;2013;171016
294;2013;185006
295;2013;184370
296;2013;204905
297;2013;211529
298;2013;181521
299;2013;198117
