Wähler;Ungültige;Ungültige;SPD;SPD;CDU;CDU;FDP;FDP;DIE LINKE;DIE LINKE;GRÜNE;GRÜNE;CSU;CSU;NPD;NPD;REP;REP;FAMILIE;FAMILIE;Die Tierschutzpartei;Die Tierschutzpartei;PBC;PBC;MLPD;MLPD;BüSo;BüSo;BP;BP;PSG;PSG;Volksabstimmung;Volksabstimmung;ZENTRUM;ZENTRUM;ADM;ADM;CM;CM;DKP;DKP;DVU;DVU;DIE VIOLETTEN;DIE VIOLETTEN;FWD;FWD;ödp;ödp;PIRATEN;PIRATEN;RRP;RRP;RENTNER;RENTNER;Freie Union;Freie Union;Übrige;Übrige
;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen
164566;2660;2033;56125;45904;43306;38459;12700;18915;21173;22111;26261;26984;0;0;2341;1817;0;0;0;0;0;0;0;0;0;128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;243;0;0;0;0;0;659;0;6142;0;0;0;1171;0;0;0;0
133657;1552;1358;47298;33225;39303;34197;10655;17246;13206;16340;18888;25459;0;0;780;802;0;0;0;0;0;0;0;0;158;88;151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104;0;0;0;0;709;563;0;3513;0;0;0;762;0;0;957;0
141650;1881;1290;33272;37645;43661;37644;11712;18823;12484;14653;36381;25703;0;0;967;797;0;0;0;0;0;0;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;144;0;0;0;0;0;426;0;3523;0;0;0;932;0;0;1292;0
163012;1821;1357;53469;40909;61873;50174;12766;25269;10805;13429;21268;26306;0;0;1010;794;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;152;0;0;0;0;0;411;0;3289;0;0;0;876;0;0;0;0
150049;2126;1686;51460;42705;53958;44770;11408;20181;14021;16205;13914;17518;0;0;1972;1674;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;261;0;0;0;0;1190;527;0;3158;0;0;0;1314;0;0;0;0
143119;2355;1991;54965;42554;46303;41423;10727;16709;14430;16358;11728;16484;0;0;2111;1795;0;0;0;0;0;0;0;0;0;63;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;280;0;0;0;0;0;402;0;3543;0;0;0;1517;0;0;0;0
132885;2439;2121;57876;50682;33706;32155;9314;13619;13213;14978;14451;13641;0;0;1886;1712;0;0;0;0;0;1042;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;123;0;0;0;0;0;123;0;2015;0;642;0;0;0;0;0;0
164653;2392;2136;47481;44913;73405;63545;15470;20731;12062;14219;11981;12222;0;0;1862;1707;0;0;0;0;0;1149;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;152;0;0;0;0;0;304;0;2899;0;648;0;0;0;0;0;0
132735;2630;1939;51851;40610;42211;38728;12283;19204;12055;13572;9794;12009;0;0;1911;1570;0;0;0;0;0;1277;0;0;0;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106;0;0;0;0;0;112;0;2452;0;1071;0;0;0;0;0;0
158347;1891;1490;49020;42551;55610;44090;13840;22917;14080;15244;21651;24171;0;0;1548;1345;0;0;0;0;0;1349;0;0;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;124;0;0;0;0;0;192;0;4000;707;821;0;0;0;0;0;0
